,ACCOUNT_NUM.hash,TARIFF_NAME,BB_Package,TARIFF_ID,BSS Name,Attribute,MEDIUM_INFO
4589,099f3123ba012ba1d09237b0f6874e02,Web Pro,Web Pro,25629.0,Web Pro,Access Link Type,COPPER
4590,7f041a816360489f7b752fe039318d28,Web Pal,Web PAL,25632.0,Web Pal,Access Link Type,COPPER
4591,cf0307bd3958407503cf2e90dadcf4b5,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4592,4c9acfecf84a9b93ad4d22460ae0fd67,Web Family Plus,Web Family Plus,25627.0,Web Mate,Access Link Type,COPPER
4593,352d3632a9aae5fd17e1efc85fdbae74,Entree,Entree,25652.0,Entrée,Access Link Type,COPPER
4594,fbd1e424fcb023ea295c0bf8d9c7ae8e,Web Starter,Web Starter,25631.0,Web Starter,Access Link Type,COPPER
4595,d793e61539ecab48e29843629c0deeaa,Web Starter,Web Starter,25631.0,Web Starter,Access Link Type,COPPER
4596,36f7b5e7dd6a93d43442c941d8294d42,Web Pal,Web PAL,25632.0,Web Pal,Access Link Type,COPPER
4597,d37a87dcc3c68090c6a0a82fcbb33b14,Broadband Experience Package,Broadband Experience Package,25623.0,Broadband Experience Package,Access Link Type,COPPER
4598,7a4e5798abc9c9e314e4c6367da7e558,Web Family Plus,Web Family Plus,25627.0,Web Mate,Access Link Type,COPPER
4599,d0be7a1c18b3f7d685b7b659010eac9c,BB Storage_Charge,,32024.0,BB Storage_Charge,,
4600,d0be7a1c18b3f7d685b7b659010eac9c,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4601,8205036780dd6dc9ecc01e3d11d65439,Web Family Plus,Web Family Plus,25627.0,Web Mate,Access Link Type,COPPER
4602,50fd812f3a1633eb98074d45ff427d1b,Web Pro,Web Pro,25629.0,Web Pro,Access Link Type,COPPER
4603,7a631a2a11a983f2b7e30d1e8df5a78f,Web Family Plus,Web Family Plus,25627.0,Web Mate,Access Link Type,COPPER
4604,be5f0a96a883fb6fad0591a4d24154d5,Entree,Entree,25652.0,Entrée,Access Link Type,COPPER
4605,e5a8596de49834c7093e7caee585325a,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4606,0e1fe0d01f3a2e9619999a1a634ec427,Broadband Experience Package,Broadband Experience Package,25623.0,Broadband Experience Package,Access Link Type,COPPER
4607,c4cdbf78ef3d51bc7877a0ad444bd245,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4608,e134fcd819d2ea121daa8905f04354dc,Web Pal,Web PAL,25632.0,Web Pal,Access Link Type,COPPER
