,201908,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,Usage_Rating_Scaled,Usage_Rating_Categorical
year-month,,,,,,,,,,,,,,
PSTN.hash,,,,,,,,,,,,,,
19cc774dcc12ce67b09882d76d5eb74c,0.16666666666666666,0.0625,0.0625,0.0625,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.0625,0.0625,0.07638888888888888,LOW
19e7dbb9588e6f2135ed301d73f34676,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.75,0.75,1.0,1.0,1.0,0.9375,HIGH
19f6622a70b16164995db6c6f47f1091,0.08333333333333333,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.125,0.1875,0.1875,0.1875,0.375,0.1267361111111111,LOW
1a379aab9684fd4fed42ec805e2a2fab,0.25,0.1875,0.125,0.1875,0.1875,0.1875,0.1875,0.1875,0.5625,0.25,0.5,0.75,0.296875,LOW
1a67bea22bd4ad301694e0eaf7706ce8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.5625,0.5625,0.5625,0.5625,0.19270833333333334,LOW
1aa6f660df808e025a851439d423b2bb,0.75,0.75,0.75,0.75,0.75,1.0,0.75,1.0,1.0,1.0,0.75,0.375,0.8020833333333334,HIGH
1b1a2cf9cdc804bb0644778768d1a28c,0.5,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.5625,0.375,0.375,0.375,0.4010416666666667,MEDIUM
1b266fbf846f3eb53f6f0c1f2813bc0a,0.25,0.1875,0.375,0.25,0.5,0.25,0.375,0.5,0.5,0.5,0.5,0.75,0.4114583333333333,MEDIUM
1b355845bc81803b7fc2f0cbaa94f014,0.75,0.5625,0.5625,0.5625,0.5625,0.5625,0.375,0.125,0.25,0.375,0.5625,0.5625,0.484375,MEDIUM
1bce2a4e81b1c339ad30a72baf90f103,0.3333333333333333,0.25,0.25,0.25,0.25,0.125,0.0625,0.125,0.125,0.25,0.25,0.25,0.21006944444444442,LOW
1bebe9b84f3b614f86f4d05db49e680b,1.0,1.0,0.75,1.0,1.0,0.5625,0.75,0.75,1.0,0.5625,0.75,1.0,0.84375,HIGH
1c0de81401d553c1b80369ec80bb2ea3,0.0,0.0,0.0,0.125,0.75,0.375,0.75,0.75,0.5,0.5,0.5,0.5,0.3958333333333333,MEDIUM
1c23b84b800de1544e3a32021ba61291,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.9791666666666666,HIGH
1c79fbb02867bfaa9a4e9f574051552f,0.3333333333333333,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.5625,0.5625,0.25,0.25,0.3819444444444444,MEDIUM
1cb1b5a48dc07fc3df4ac206b8960454,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.375,0.5625,0.75,0.75,0.75,0.6822916666666666,HIGH
